description,origin,section,family,brand,variety,format,group,internet_description,manufacturer
Z. ARROZ BANQUETE G°2L PREM. 10X1 KG,ABARROTES BASICOS Y MASCOTAS,ARROZ,BLANCO,BANQUETE,NACIONAL G2,,ARROZ,,EMPRESAS TUCAPEL S.A.
Z. LECHE PURITA 6X1600 GRS.,LACTEOS REFRIGERADOS Y CECINAS,LECHE POLVO,ENTERAS,PURITA,,,,,DIWATTS S.A
MORTADELA JAMONADA PAVO WINTER X GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,MORTADELA,WINTER,JAMONADA PAVO,BARRA,REFRIGERADOS,,CIAL ALIMENTOS S.A.
PATE DE TERNERA WINTER 16X125 GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,PATE,WINTER,TERNERA,SACHET,REFRIGERADOS,,CIAL ALIMENTOS S.A.
Z. DESOD. AXE SPRAY CONVICTI 12X160 ML,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,AXE,,,,,UNILEVER CHILE LIMITADA.
Z. ACEITE LA REINA 40X250 CC,ABARROTES BASICOS Y MASCOTAS,ACEITE,VEGETAL,REINA,,,,,
Z-TOALLA DONNASEPT INVISIBLE SUAVE X24,CUIDADO PERSONAL,PROTECCION FEMENINA,TOALLAS,DONNASEPT,,,,,PRODUCTOS FAMILIA CHILE SPA
Z. HELLMANNS MAY 6X12X200 GRS,ALIMENTOS,MAYONESA,TRADICIONAL,HELLMAN'S,,,,,UNILEVER CHILE LIMITADA.
PATE AVE WINTER 8X125 GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,PATE,WINTER,,,,,CECINAS WINTER S.A.
Z. I.PACK INSEC-SELTON CJ+MMZ 2X6X440,ASEO Y LIMPIEZA,INSECTICIDAS,SPRAY,SELTON,,,,,CLOROX CHILE S.A.
Z. MARGARINA DORINA SABOR PEQUEÑO 48X90G,LACTEOS REFRIGERADOS Y CECINAS,MANTEQUILLAS Y MARGARINAS,MARGARINAS,DORINA,,,,,UNILEVER CHILE LIMITADA.
